,T,P,Lags Used,NumberObservationsUsed,stockName
0,-80.65311089200704,0.0,0,5806,601066.XSHG
1,-44.609339359165126,0.0,2,5804,600690.XSHG
2,-39.976541368585835,0.0,3,5803,600048.XSHG
3,-43.97253662528525,0.0,3,5803,601728.XSHG
4,-23.547695370159193,0.0,9,5797,601633.XSHG
5,-78.73530123474463,0.0,0,5806,600893.XSHG
6,-75.43959255013685,0.0,0,5806,600309.XSHG
7,-15.038502405627343,9.669928740317387e-28,27,5779,600276.XSHG
8,-77.61135916289068,0.0,0,5806,601888.XSHG
9,-43.219247097792156,0.0,2,5804,601668.XSHG
10,-42.712660608448125,0.0,2,5804,601138.XSHG
11,-55.671659372721024,0.0,1,5805,600588.XSHG
12,-36.050077551387325,0.0,4,5802,600570.XSHG
13,-38.892667350911644,0.0,3,5803,601995.XSHG
14,-52.58129510232992,0.0,2,5804,600050.XSHG
15,-42.51181769764615,0.0,2,5804,600030.XSHG
16,-42.9075929522415,0.0,2,5804,601211.XSHG
17,-43.73989531259471,0.0,2,5804,601336.XSHG
18,-35.891388418603775,0.0,3,5803,600104.XSHG
19,-55.17128164415127,0.0,1,5805,601628.XSHG
20,-78.05440589744876,0.0,0,5806,603501.XSHG
21,-55.97548134589268,0.0,1,5805,600436.XSHG
22,-76.25224514035831,0.0,0,5806,601688.XSHG
23,-40.24560925651957,0.0,3,5803,600036.XSHG
24,-36.265027161107255,0.0,4,5802,603288.XSHG
25,-42.64071385783644,0.0,2,5804,600031.XSHG
26,-37.32748740654441,0.0,4,5802,600000.XSHG
27,-38.89947588173529,0.0,3,5803,601166.XSHG
28,-44.29705111431174,0.0,2,5804,600837.XSHG
29,-77.8876140617957,0.0,0,5806,600745.XSHG
30,-77.78775035726916,0.0,0,5806,601601.XSHG
