,alpha,beta
600000.XSHG_600031.XSHG,-34.203923331890934,6.567713878987281
600000.XSHG_600036.XSHG,-13.049952491803651,7.400868381966305
600000.XSHG_600050.XSHG,-0.138469646033613,0.47318246047661905
600000.XSHG_600309.XSHG,-94.50230494137713,22.384002861634585
600000.XSHG_600837.XSHG,-3.354019620773556,1.7765422643885795
600000.XSHG_601211.XSHG,-1.9437170501631726,2.2423922601087263
600000.XSHG_601336.XSHG,-15.44376567438519,6.341607344083229
600000.XSHG_601601.XSHG,-17.716683973410852,5.24524244106955
600000.XSHG_601628.XSHG,-13.416703152083244,4.995180926204608
600000.XSHG_601888.XSHG,-395.5886959451857,71.46837917472033
600030.XSHG_600588.XSHG,-28.019310982614314,2.564045167735725
600030.XSHG_601211.XSHG,4.5242495706342964,0.5392503633537502
600030.XSHG_601688.XSHG,1.637888132116089,0.6261160615530272
600030.XSHG_601728.XSHG,2.492859973256614,0.07339848948450867
600031.XSHG_600050.XSHG,2.569294582249377,0.06089702511625594
600031.XSHG_600276.XSHG,1.1360844553760217,2.0609688870020424
600031.XSHG_600309.XSHG,30.450267146755664,3.024482765618149
600031.XSHG_600837.XSHG,6.25255782610116,0.25426081238538556
600031.XSHG_601066.XSHG,10.382906205672569,0.7871728754955045
600031.XSHG_601138.XSHG,6.759869255211925,0.21011843317133816
600031.XSHG_601336.XSHG,21.882215427592385,0.7686829029718343
600031.XSHG_601601.XSHG,12.53436447095126,0.664265975156165
600031.XSHG_601628.XSHG,15.421148633268544,0.6312702126000325
600031.XSHG_601995.XSHG,14.547527214374384,1.4861671955712286
600036.XSHG_601336.XSHG,5.2783017331279325,0.666458741346438
600036.XSHG_601601.XSHG,-2.676810300723119,0.5931474532309076
600048.XSHG_601668.XSHG,2.178372037861859,0.1882171158867294
600050.XSHG_600309.XSHG,-78.70680255276784,44.934144709018085
600050.XSHG_600837.XSHG,-2.737918248445581,3.7297769066116757
600050.XSHG_601138.XSHG,-0.437329681766073,3.0226360821868
600050.XSHG_601336.XSHG,-8.312002120872876,12.048916343419904
600050.XSHG_601601.XSHG,-14.01755749834794,10.52998889660011
600050.XSHG_601628.XSHG,-8.56738256833296,9.687767118201492
600104.XSHG_600276.XSHG,-27.05445075259047,3.712214835969574
600104.XSHG_600436.XSHG,-257.9576088257277,33.10376361794721
600104.XSHG_600570.XSHG,-16.103820428152687,3.697971123202583
600104.XSHG_600837.XSHG,3.1083287311599435,0.4410543868274024
600104.XSHG_600893.XSHG,-26.245723075661317,4.106190477850493
600104.XSHG_601066.XSHG,1.4881028243543994,1.3228965607597463
600104.XSHG_601138.XSHG,4.4263863641583825,0.35104944074651234
600104.XSHG_601633.XSHG,-100.66158325592812,7.52210179934322
600104.XSHG_603288.XSHG,-21.981984421472248,6.47206672705051
600276.XSHG_600436.XSHG,11.770372222296828,8.300538601717822
600276.XSHG_600570.XSHG,17.201297564175604,0.858449084407277
600276.XSHG_600837.XSHG,6.903942564093313,0.10621526544046422
600276.XSHG_600893.XSHG,7.04194651876827,1.0332696493810065
600276.XSHG_601066.XSHG,12.257653787039345,0.33190976809126305
600276.XSHG_601633.XSHG,-41.182572768571305,1.9253569694025745
600276.XSHG_601995.XSHG,18.73098508317824,0.6126831296091857
600276.XSHG_603288.XSHG,29.78165186332774,1.6438577955824005
600309.XSHG_600837.XSHG,4.667380759424518,0.07396673908950085
600309.XSHG_601066.XSHG,5.856131045241511,0.22504922118685244
600309.XSHG_601138.XSHG,5.4207693605102065,0.061427162956865344
600309.XSHG_601336.XSHG,15.136935302264874,0.2438551906287718
600309.XSHG_601601.XSHG,6.913885701400972,0.20856920786671396
600309.XSHG_601628.XSHG,9.376930440515636,0.20549341090497752
600309.XSHG_601888.XSHG,-67.64550629093958,2.9211872264985477
600436.XSHG_600570.XSHG,18.86402993877512,0.09612557238237396
600436.XSHG_600893.XSHG,6.79281853019657,0.12140184525832598
600436.XSHG_601066.XSHG,13.490792363351169,0.03567070943895834
600436.XSHG_601633.XSHG,-30.512260419395375,0.19801127854265077
600436.XSHG_601995.XSHG,21.38031058460001,0.06490081178151963
600570.XSHG_600690.XSHG,5.444765769983661,0.37606123904223865
600570.XSHG_600837.XSHG,5.54452911400557,0.11019539554474
600570.XSHG_601066.XSHG,9.185207069359407,0.3236553007753209
600570.XSHG_601138.XSHG,6.293063814711871,0.08898197531247398
600570.XSHG_603501.XSHG,-12.789004723501876,4.811491784865456
600588.XSHG_600690.XSHG,9.34781250758801,0.5421969893149483
600588.XSHG_601211.XSHG,11.314137338703311,0.18245769759441832
600588.XSHG_601688.XSHG,9.232512798003178,0.22082322336659965
600690.XSHG_601688.XSHG,7.350566446219879,0.3354656648450063
600690.XSHG_601728.XSHG,3.0808820089321447,0.042372161881031656
600690.XSHG_603501.XSHG,-34.76139155919043,11.01559008340083
600745.XSHG_603501.XSHG,14.488540984595318,2.1463831708583894
600837.XSHG_601066.XSHG,-5.827880758029551,2.829372177047798
600837.XSHG_601138.XSHG,2.0703199789535063,0.7859405330023534
600837.XSHG_601601.XSHG,-2.4039351603357204,2.4942196600200557
600837.XSHG_601633.XSHG,-131.30297323570915,15.159805426031397
600837.XSHG_603288.XSHG,-45.834542324114295,12.830849064426872
601066.XSHG_601138.XSHG,4.213011709640881,0.2587811414901142
601066.XSHG_601601.XSHG,5.891378395552522,0.7670204439747534
601066.XSHG_601728.XSHG,2.8340200504954467,0.05015251089852868
601066.XSHG_601995.XSHG,-2.4696863931976907,1.7942103641127618
601138.XSHG_601601.XSHG,-3.8954077741618107,2.726011886491605
601138.XSHG_601728.XSHG,2.1859302317729608,0.17896330459813248
601166.XSHG_601668.XSHG,1.3521430917370552,0.1833051743420795
601211.XSHG_601336.XSHG,0.47073206409268664,2.222041573039899
601211.XSHG_601601.XSHG,-5.45106841867306,1.890095678473882
601211.XSHG_601628.XSHG,-1.202531253097959,1.7689636608569508
601211.XSHG_601688.XSHG,-1.2457999401095634,1.023255336508651
601336.XSHG_601601.XSHG,-3.0096591689752046,0.7771200802143601
601336.XSHG_601628.XSHG,-0.7997352096343207,0.7759903189682928
601336.XSHG_601888.XSHG,-205.31882517050144,10.85023211434391
601601.XSHG_601628.XSHG,4.839741091851124,0.9011289314363653
601601.XSHG_601888.XSHG,-128.55595673797382,12.67729323699134
601628.XSHG_601888.XSHG,-168.75207101206047,13.11329429758262
601633.XSHG_603288.XSHG,67.50420209207569,0.8000544807321401
