,stockName,T,P
0,600000.XSHG_600031.XSHG,-2.5840395184155622,0.24331301207524758
1,600000.XSHG_600050.XSHG,-3.09102320704479,0.09012004522165684
2,600000.XSHG_600309.XSHG,-3.4795385058298325,0.03425287464243617
3,600000.XSHG_601336.XSHG,-4.907639024331582,0.00024253876224924253
4,600000.XSHG_601601.XSHG,-3.9336215501883194,0.008909110177477492
5,600000.XSHG_601628.XSHG,-3.7789439454629448,0.014457363543751833
6,600031.XSHG_600309.XSHG,-2.5160493833062376,0.27203700978148804
7,600031.XSHG_600837.XSHG,-2.8175628744891985,0.16016049999645066
8,600031.XSHG_601066.XSHG,-3.0710571160351274,0.09426515604431901
9,600031.XSHG_601995.XSHG,-3.1027827583779657,0.08774526374366393
10,600036.XSHG_601601.XSHG,-2.6863207440665975,0.20453706312614967
11,600050.XSHG_600309.XSHG,-3.446664716553864,0.037425475528274216
12,600050.XSHG_600837.XSHG,-2.283245932528148,0.38194203739037025
13,600050.XSHG_601336.XSHG,-2.9160933957248187,0.13152099104303006
14,600050.XSHG_601601.XSHG,-4.6943232146571345,0.0005767275070171294
15,600050.XSHG_601628.XSHG,-3.0474299669121843,0.09935714874750101
16,600104.XSHG_600276.XSHG,-3.5371967842163037,0.029237379307948928
17,600104.XSHG_600570.XSHG,-3.6520923001707732,0.021090461020160836
18,600104.XSHG_600837.XSHG,-3.4764684783695734,0.034539199619427786
19,600104.XSHG_601066.XSHG,-4.675449055502964,0.0006214440943777969
20,600276.XSHG_600436.XSHG,-3.191025780277118,0.07144145272687201
21,600276.XSHG_601066.XSHG,-3.3943077776728066,0.042986646706917785
22,600276.XSHG_601633.XSHG,-2.5311294854925133,0.2655152590307567
23,600276.XSHG_603288.XSHG,-2.8150651466518903,0.1609383332580736
24,600309.XSHG_601336.XSHG,-3.1662611946783197,0.07575359742905831
25,600309.XSHG_601601.XSHG,-3.605822007722375,0.02409810534067497
26,600309.XSHG_601628.XSHG,-4.523444242574914,0.0011204094221864461
27,600436.XSHG_600893.XSHG,-3.4021729385676394,0.04210969590850535
28,600436.XSHG_601066.XSHG,-4.148861817792724,0.004354630776083299
29,600570.XSHG_600837.XSHG,-3.6538398303117883,0.020983560228775476
30,600570.XSHG_601066.XSHG,-3.7844634217828204,0.014216069282236909
31,600588.XSHG_601688.XSHG,-3.225056801398966,0.06583648016816421
32,600837.XSHG_601066.XSHG,-2.706348644376996,0.19730363180922927
33,600837.XSHG_601138.XSHG,-3.0458613311945864,0.0997024718777747
34,600837.XSHG_601601.XSHG,-2.5926534639684222,0.2398015158926704
35,601066.XSHG_601138.XSHG,-3.7131551280554094,0.017623890950419028
36,601066.XSHG_601995.XSHG,-2.25793160169783,0.3947214673522479
37,601336.XSHG_601601.XSHG,-2.23750267476601,0.40511686066550856
38,601336.XSHG_601628.XSHG,-3.14099007749494,0.08036297626506689
39,601601.XSHG_601628.XSHG,-1.6981405838409318,0.6777536514541925
40,601633.XSHG_603288.XSHG,-3.897753423062018,0.009990420934626307
