,firstStockCode,secondStockCode
0,600000.XSHG,600031.XSHG
1,600000.XSHG,600050.XSHG
2,600000.XSHG,600309.XSHG
3,600000.XSHG,601336.XSHG
4,600000.XSHG,601601.XSHG
5,600000.XSHG,601628.XSHG
6,600031.XSHG,600309.XSHG
7,600031.XSHG,600837.XSHG
8,600031.XSHG,601066.XSHG
9,600031.XSHG,601995.XSHG
10,600036.XSHG,601601.XSHG
11,600050.XSHG,600309.XSHG
12,600050.XSHG,600837.XSHG
13,600050.XSHG,601336.XSHG
14,600050.XSHG,601601.XSHG
15,600050.XSHG,601628.XSHG
16,600104.XSHG,600276.XSHG
17,600104.XSHG,600570.XSHG
18,600104.XSHG,600837.XSHG
19,600104.XSHG,601066.XSHG
20,600276.XSHG,600436.XSHG
21,600276.XSHG,601066.XSHG
22,600276.XSHG,601633.XSHG
23,600276.XSHG,603288.XSHG
24,600309.XSHG,601336.XSHG
25,600309.XSHG,601601.XSHG
26,600309.XSHG,601628.XSHG
27,600436.XSHG,600893.XSHG
28,600436.XSHG,601066.XSHG
29,600570.XSHG,600837.XSHG
30,600570.XSHG,601066.XSHG
31,600588.XSHG,601688.XSHG
32,600837.XSHG,601066.XSHG
33,600837.XSHG,601138.XSHG
34,600837.XSHG,601601.XSHG
35,601066.XSHG,601138.XSHG
36,601066.XSHG,601995.XSHG
37,601336.XSHG,601601.XSHG
38,601336.XSHG,601628.XSHG
39,601601.XSHG,601628.XSHG
40,601633.XSHG,603288.XSHG
