,lbvalue,pvalue,bpvalue,bppvalue
0,120.65987036852394,4.536000114336797e-28,120.59756750946963,4.680716278413407e-28
1,156.63588289273744,9.703986771333157e-35,156.5488116945959,1.013578678615919e-34
2,185.38752894483977,6.052208294347018e-40,185.2757145056895,6.39829773289341e-40
3,194.43116685473584,5.915466010540608e-41,194.31001303048072,6.281006420946049e-41
4,197.19019300693182,1.1335240672608218e-40,197.06571505478246,1.2051846279598239e-40
5,198.1789436583824,4.632114849875486e-40,198.0531042595529,4.92673105161818e-40
6,199.01720313349688,1.8534299297595135e-39,198.890065226014,1.971955019445673e-39
7,208.21975945530926,1.1818211282403515e-40,208.07678238031895,1.2668131293765637e-40
8,209.54316187069816,3.296849982799104e-40,209.39767921454276,3.5370798467078835e-40
9,210.37768227726028,1.1000311328102913e-39,210.23047599892266,1.1807724870137364e-39
10,211.77540890782586,2.6618056881983644e-39,211.6250751860808,2.8605299903299147e-39
11,212.65305215898158,7.901591789076302e-39,212.5006036342217,8.497206446807101e-39
